state,st_abb,date,tmin,tmax,tavg,ppt,coal,natural gas,petroleum coke,petroleum liquids
Wyoming,WY,2001-05-01,36.743,64.8374,50.7902,28.725,2014.0,12.447,0.0,2.176
Alabama,AL,2001-06-01,65.8202,85.68860000000001,75.7544,179.492,3038.0,290.466,0.0,8.84
Arkansas,AR,2001-06-01,65.03,86.1008,75.5654,77.43,1448.0,45.225,0.0,11.424000000000001
Arizona,AZ,2001-06-01,60.6902,94.0172,77.3528,6.085,1755.0,341.037,0.0,2.4480000000000004
California,CA,2001-06-01,55.3658,85.8938,70.6298,7.29,158.0,2686.122,80.0,20.400000000000002
Colorado,CO,2001-06-01,47.0876,78.917,63.001400000000004,21.604,1686.0,208.791,0.0,4.488
Connecticut,CT,2001-06-01,58.01,78.0566,68.0324,163.44,143.0,67.716,0.0,102.68
Delaware,DE,2001-06-01,63.7556,82.0904,72.923,133.586,120.0,36.666,1.0,43.112
Florida,FL,2001-06-01,70.0196,89.75840000000001,79.889,208.549,2645.0,992.196,59.0,937.0400000000001
Georgia,GA,2001-06-01,66.5024,86.0522,76.2782,185.401,2940.0,155.52,20.0,34.544000000000004
Iowa,IA,2001-06-01,57.8822,78.2726,68.0774,104.269,1861.0,38.07,0.0,1.9040000000000001
Idaho,ID,2001-06-01,41.9198,70.9556,56.4368,37.262,13.0,17.631,0.0,0.0
